Column,Unique_Categories,Missing_Percentage,Dominant_Percentage,Encoding_Strategy,Reason
MSZoning,5,0.0,78.84,onehot_encode,Nominal categorical column with 10 or fewer categories
Street,2,0.0,99.59,drop,High missing percentage or one dominant value
Alley,2,93.77,54.95,drop,High missing percentage or one dominant value
LotShape,4,0.0,63.36,onehot_encode,Nominal categorical column with 10 or fewer categories
LandContour,4,0.0,89.79,onehot_encode,Nominal categorical column with 10 or fewer categories
Utilities,2,0.0,99.93,drop,High missing percentage or one dominant value
LotConfig,5,0.0,72.05,onehot_encode,Nominal categorical column with 10 or fewer categories
LandSlope,3,0.0,94.66,onehot_encode,Nominal categorical column with 10 or fewer categories
Neighborhood,25,0.0,15.41,frequency_encode,Nominal categorical column with more than 10 categories
Condition1,9,0.0,86.3,onehot_encode,Nominal categorical column with 10 or fewer categories
Condition2,8,0.0,98.97,drop,High missing percentage or one dominant value
BldgType,5,0.0,83.56,onehot_encode,Nominal categorical column with 10 or fewer categories
HouseStyle,8,0.0,49.73,onehot_encode,Nominal categorical column with 10 or fewer categories
RoofStyle,6,0.0,78.15,onehot_encode,Nominal categorical column with 10 or fewer categories
RoofMatl,8,0.0,98.22,drop,High missing percentage or one dominant value
Exterior1st,15,0.0,35.27,frequency_encode,Nominal categorical column with more than 10 categories
Exterior2nd,16,0.0,34.52,frequency_encode,Nominal categorical column with more than 10 categories
MasVnrType,3,59.73,75.68,drop,High missing percentage or one dominant value
ExterQual,4,0.0,62.05,label_encode,Ordinal quality scale exists
ExterCond,5,0.0,87.81,label_encode,Ordinal quality scale exists
Foundation,6,0.0,44.32,onehot_encode,Nominal categorical column with 10 or fewer categories
BsmtQual,4,2.53,45.61,label_encode,Ordinal quality scale exists
BsmtCond,4,2.53,92.13,label_encode,Ordinal quality scale exists
BsmtExposure,4,2.6,67.02,onehot_encode,Nominal categorical column with 10 or fewer categories
BsmtFinType1,6,2.53,30.22,onehot_encode,Nominal categorical column with 10 or fewer categories
BsmtFinType2,6,2.6,88.33,onehot_encode,Nominal categorical column with 10 or fewer categories
Heating,6,0.0,97.81,drop,High missing percentage or one dominant value
HeatingQC,5,0.0,50.75,label_encode,Ordinal quality scale exists
CentralAir,2,0.0,93.49,onehot_encode,Nominal categorical column with 10 or fewer categories
Electrical,5,0.07,91.43,onehot_encode,Nominal categorical column with 10 or fewer categories
KitchenQual,4,0.0,50.34,label_encode,Ordinal quality scale exists
Functional,7,0.0,93.15,onehot_encode,Nominal categorical column with 10 or fewer categories
FireplaceQu,5,47.26,49.35,label_encode,Ordinal quality scale exists
GarageType,6,5.55,63.09,onehot_encode,Nominal categorical column with 10 or fewer categories
GarageFinish,3,5.55,43.87,onehot_encode,Nominal categorical column with 10 or fewer categories
GarageQual,5,5.55,95.07,drop,High missing percentage or one dominant value
GarageCond,5,5.55,96.16,drop,High missing percentage or one dominant value
PavedDrive,3,0.0,91.78,onehot_encode,Nominal categorical column with 10 or fewer categories
PoolQC,3,99.52,42.86,drop,High missing percentage or one dominant value
Fence,4,80.75,55.87,drop,High missing percentage or one dominant value
MiscFeature,4,96.3,90.74,drop,High missing percentage or one dominant value
SaleType,9,0.0,86.78,onehot_encode,Nominal categorical column with 10 or fewer categories
SaleCondition,6,0.0,82.05,onehot_encode,Nominal categorical column with 10 or fewer categories
YearBuilt_Decade_Label,15,0.0,26.51,frequency_encode,Nominal categorical column with more than 10 categories
